eventid	iyear	imonth	iday	extended	country	country_txt	region	region_txt	provstate	city	latitude	longitude	specificity	vicinity	location	summary	crit1	crit2	crit3	doubtterr	alternative	alternative_txt	multiple	success	suicide	attacktype1	attacktype1_txt	targtype1	targtype1_txt	targsubtype1	targsubtype1_txt	corp1	target1	natlty1	natlty1_txt	gname	motive	guncertain1	individual	nperps	nperpcap	claimed	compclaim	weaptype1	weaptype1_txt	weapsubtype1	weapsubtype1_txt	nkill	nkillter	nwound	nwoundte	property	propextent	propextent_txt	ishostkid	nhostkid	dbsource	id	population
1.98E+11	1981	10	19	0	61	El Salvador	2	Central America & Caribbean		San Lorenzo	13.703735	-88.804566	1	0			1	1	1	0			0	1	0	3	Bombing/Explosion	14	Private Citizens & Property	75	Village/City/Town/Suburb		City of San Lorenzo	61	El Salvador	Unknown		0	0					5	Firearms	2	Automatic Weapon	1		2		1	4	Unknown	0		PGIS	SLV	6052064
1.99E+11	1994	5	16	0	159	Peru	3	South America	Lima	Lima	-12.046378	-77.042791	1	0			1	1	1	0			1	1	0	7	Facility/Infrastructure Attack	1	Business	7	Retail/Grocery/Bakery	unknown	supermarket	159	Peru	Shining Path (SL)		0	0					8	Incendiary			0		0		1			0		PGIS	PER	29907003
2.02E+11	2016	5	23	0	113	Libya	10	Middle East & North Africa	Sirte	Sirte	31.203247	16.589369	1	1		"05/23/2016: Assailants fired missiles at military positions near Sirte, Libya. There were no reported casualties in the attack. No group claimed responsibility; however, sources attributed the incident to the Tripoli Province of the Islamic State."	1	1	0	1	1	Insurgency/Guerilla Action	0	1	0	3	Bombing/Explosion	4	Military	34	"Military Personnel (soldiers, troops, officers, forces)"	Armed Forces of Libya	Positions	113	Libya	Tripoli Province of the Islamic State		0	0	-99	0	0		6	Explosives/Bombs/Dynamite	11	"Projectile (rockets, mortars, RPGs, etc.)"	0	0	0	0	-9			0		START Primary Collection	LBY	6461454
1.99E+11	1991	10	16	0	61	El Salvador	2	Central America & Caribbean		5th of November Hydroelectric Dam	13.99	-88.758	1	0			1	1	1	0			1	1	0	3	Bombing/Explosion	21	Utilities	107	Electricity		Electric Line Pole	61	El Salvador	Farabundo Marti National Liberation Front (FMLN)		0	0					6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	0		0		1			0		PGIS	SLV	6052064
2.01E+11	2012	5	3	0	4	Afghanistan	6	South Asia	Takhar	Unknown	36.669801	69.478454	4	0	"Attack occurred within the offices of the provincial government of Takhar, Takhar Province, Afghanistan"	"05/03/2012: An explosive device hidden inside a computer was discovered in Takhar province, Afghanistan. The device was planted to target the provincial council chief. No group claimed responsibility for the attack; however, Mohammad Amir Shah, a computer operator, was arrested. The provincial governor noted that Shah had been instructed by the Taliban-designated provincial governor to plant the device."	1	1	1	0			0	0	0	3	Bombing/Explosion	2	Government (General)	15	Politician or Political Party Movement/Meeting/Rally	Government of Takhar	Provincial Council Chief	4	Afghanistan	Taliban		0	0	1	1	0		6	Explosives/Bombs/Dynamite	12	Remote Trigger	0	0	0	0	0			0		START Primary Collection	AFG	29121286
2.01E+11	2013	9	7	0	92	India	6	South Asia	Jammu and Kashmir	Pulwama	33.870986	74.892318	1	0		"09/07/2013: Assailants tossed a grenade at a joint local police and Central Reserve Police Force (CRPF) patrol standing outside a hospital in Pulwama town, Jammu and Kashmir state, India. At least 15 people, including 12 police officers, were injured by the blast. Hizbul Mujahideen (HM) claimed responsibility for the attack."	1	1	1	0			0	1	0	3	Bombing/Explosion	3	Police	23	Police Patrol (including vehicles and convoys)	Indian Police Service (IPS)	Patrol	92	India	Hizbul Mujahideen (HM)		0	0	-99	0	1		6	Explosives/Bombs/Dynamite	7	Grenade	0	0	15	0	-9			0		START Primary Collection	IND	1173108018
1.98E+11	1981	7	23	0	205	Thailand	5	Southeast Asia		Wiang Sa Dist of Surat Thani	8.612029	99.345112	3	0			1	1	1	0			0	1	0	3	Bombing/Explosion	19	Transportation	100	Train/Train Tracks/Trolley		railway bridge	205	Thailand	Communist Party of Thailand		0	0	20				6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type					1	3	Minor (likely < $1 million)	0		PGIS	THA	66404688
2.02E+11	2016	3	15	0	228	Yemen	10	Middle East & North Africa	Amanat Al Asimah	Sanaa	15.366011	44.182635	1	0	The incident occurred on Al-Raqas street	"03/15/2016: Two explosive devices were discovered and defused next to the Nasserite Unionist Party Headquarters on Al-Raqas Street in Sanaa, Amanat Al Asimah, Yemen. No group claimed responsibility for the attack."	1	1	1	0			0	0	0	3	Bombing/Explosion	14	Private Citizens & Property	84	Political Party Member/Rally	Nasserite Unionist Party	Headquarters	228	Yemen	Unknown		0	0	-99	0	0		6	Explosives/Bombs/Dynamite	8	Land Mine	0	0	0	0	0			0		START Primary Collection	YEM	23495361
2.01E+11	2012	11	9	1	209	Turkey	10	Middle East & North Africa	Mardin	Midyat	37.415668	41.371505	1	0		"11/09/2012: Members of the Kurdistan Workers' Party (PKK) stopped a minibus carrying teachers in Midyat town, Mardin province, Turkey. The assailants abducted three teachers and let the remaining eight teachers go free. The outcome of the kidnapping is unknown."	1	1	1	0			0	1	0	6	Hostage Taking (Kidnapping)	8	Educational Institution	48	Teacher/Professor/Instructor	Unknown	Teachers	209	Turkey	Kurdistan Workers' Party (PKK)		0	0	-99	0	0		13	Unknown				0		0	0			1	3	START Primary Collection	TUR	77804122
2.01E+11	2007	2	19	0	92	India	6	South Asia	Haryana	Diwana	29.314112	76.970119	1	0	80km north of New Delhi	"02/19/2007: Islamic militants sent a ball of flame through the coaches of the India-Pakistan “Friendship Express” train as it traveled through Deewana, 80km north of New Delhi, India. At least 66 were killed. No group claimed responsibility for the attack."	1	1	1	0			0	1	0	3	Bombing/Explosion	19	Transportation	100	Train/Train Tracks/Trolley	Civilians	Civilians	92	India	Unknown	Unknown	0	0			0		8	Incendiary	18	Arson/Fire	66	0		0	1	4	Unknown	0		CETIS	IND	1173108018
2.01E+11	2012	2	28	0	44	China	4	East Asia	Xinjiang	Yeching	37.882919	77.413795	1	1	"Incident occurred on Xingfu St. outside of the city in Yeching County, in Kashgar Prefecture"	"02/28/2012: Assailants attacked civilians with knives and hatchets at a market outside Yeching town, Xinjiang province, China. Twenty-two people, including seven assailants, were killed, while 14 other people were injured in the assault. Uighur separatists claimed responsibility for the incident. The Uighur minority had previously complained about state discrimination and policies that put them at an economic disadvantage. Most of the victims were part of the Han majority."	1	1	1	0			0	1	0	2	Armed Assault	14	Private Citizens & Property	67	Unnamed Civilian/Unspecified	Not Applicable	Civilians	44	China	Uighur Separatists	"The specific motive is unknown; however, the Uighur minority has long complained about being politically and religiously oppressed by the government. Most of the victims were from the dominant Han population, which Uighurs allege are favored by Chinese policy."	0	0	-99	0	0		9	Melee	23	Knife or Other Sharp Object	22	7	14	0	0			0		START Primary Collection	CHN	1330141295
2.01E+11	2013	11	8	0	160	Philippines	5	Southeast Asia	Maguindanao	Salbo	6.926896	124.415746	1	0		"11/08/2013: Assailants opened fire on a vehicle carrying Nasser Kempao in barangay Salbo, Maguindanao province, Philippines. Kempao, the Datu Saudi Ampatuan town supervisor of schools, and one of his companions were wounded in the attack. No group claimed responsibility for the incident."	1	1	1	0			0	1	0	2	Armed Assault	8	Educational Institution	50	Other Personnel	Maguindanao Schools Division 1	Datu Saudi Ampatuan Supervisor: Nasser Kempao	160	Philippines	Unknown	"The specific motive is unknown; however, sources noted that barangay elections in schools under the victim's jurisdiction had recently concluded."	0	0	-99	0	0		5	Firearms	2	Automatic Weapon	0	0	2	0	1	3	Minor (likely < $1 million)	0		START Primary Collection	PHL	99900177
2.01E+11	2014	6	24	0	4	Afghanistan	6	South Asia	Herat	Obe district	34.376953	63.213588	3	0		"06/24/2014: Assailants threw hand grenades at a police checkpoint in Obe district, Herat province, Afghanistan. Four people, including two police officers and two civilians, were killed and five other people were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban."	1	1	1	0			0	1	0	2	Armed Assault	3	Police	24	Police Checkpoint	Afghan Police	Checkpoint	4	Afghanistan	Taliban		0	0	3	0	0		5	Firearms	2	Automatic Weapon	4	0	5	0	1	3	Minor (likely < $1 million)	0		START Primary Collection	AFG	29121286
2.01E+11	2008	8	28	0	209	Turkey	10	Middle East & North Africa	Hakkari	Unknown	37.445932	43.744984	4	0	The incident occurred in southeastern Hakkari province.	"08/28/2008: On Thursday, at an unknown time, the Kurdistan Worker's Party (PKK) terrorists killed one and injured five in a vehicle attack in Hakkari, Turkey."	1	1	1	0			0	1	0	2	Armed Assault	4	Military	35	Military Transportation/Vehicle (excluding convoys)		The target was a military transport.	209	Turkey	Kurdistan Workers' Party (PKK)	The specific motive for the attack is unknown.	0	0	-99	0	0		5	Firearms	5	Unknown Gun Type	1	0	5	0	0			0		ISVG	TUR	77804122
1.99E+11	1992	3	24	0	183	South Africa	11	Sub-Saharan Africa	Gauteng	Soweto	-26.246319	27.853677	1	0			1	1	1	0			0	1	0	1	Assassination	19	Transportation	100	Train/Train Tracks/Trolley		2 railway commuters	183	South Africa	Unknown		0	0					13	Unknown			2		0		0			0		PGIS	ZAF	49109107
2.01E+11	2008	6	3	0	97	Israel	10	Middle East & North Africa	Southern	Unknown	30.66667	34.83333	4	0		"06/03/2008: On Tuesday, five people, including three Israelis and two Thai nationals, were wounded when Palestinian militants launched at least five rockets at farming areas in southern Israel from Palestine's Gaza Strip into Israel. One of the rockets struck a hen house but no other damages were reported. No claim of responsibility was made for the incident."	1	1	1	0			0	1	0	3	Bombing/Explosion	1	Business	9	Farm/Ranch		Israeli farming areas	97	Israel	Unknown	The specific motive for the attack is unknown.	0	0	-99	0	0		6	Explosives/Bombs/Dynamite	11	"Projectile (rockets, mortars, RPGs, etc.)"	0	0	5	0	1	3	Minor (likely < $1 million)	0		ISVG	ISR	7353985
1.97E+11	1972	8	13	0	603	United Kingdom	8	Western Europe	Northern Ireland	Belfast	54.597269	-5.930109	1	0			1	1	1	-9			0	1	0	1	Assassination	14	Private Citizens & Property	69	Religion Identified		"Thomas Madden, 48, Catholic"	233	Northern Ireland	Protestant extremists		0	0					9	Melee	22	"Hands, Feet, Fists"	1				0			0		CAIN	GBR	61284806
2.01E+11	2014	10	3	0	228	Yemen	10	Middle East & North Africa	Amran	Al-Ahnum district	16.282222	43.745833	3	0	The incident occurred in the Mafkhadh area	"10/03/2014: An explosives-laden vehicle detonated at a market in Al-Ahnum district, Amran governorate, Yemen. At least two people were killed and 13 others were wounded in the blast. No group claimed responsibility for the incident."	1	1	1	0			0	1	0	3	Bombing/Explosion	14	Private Citizens & Property	74	Marketplace/Plaza/Square	Unknown	Market	228	Yemen	Unknown		0	0	-99	0	0		6	Explosives/Bombs/Dynamite	15	Vehicle	2	0	13	0	-9			0		START Primary Collection	YEM	23495361
2.02E+11	2016	2	19	0	37	Cameroon	11	Sub-Saharan Africa	Extreme-North	Tokombre	10.866518	14.150657	1	0		"02/19/2016: Two suicide bombers detonated near a school in Tokombre town, Extreme-North region, Cameroon. The bombers were killed and there were no other reported casualties. No group claimed responsibility for the incident; however, sources the attack to Boko Haram."	1	1	1	0			0	1	1	3	Bombing/Explosion	8	Educational Institution	49	School/University/Educational Building	Unknown	School	37	Cameroon	Boko Haram		0	0	2	0	0		6	Explosives/Bombs/Dynamite	13	Suicide (carried bodily by human being)	2	2	0	0	0			0		START Primary Collection	CMR	19294149
2.01E+11	2007	2	4	0	4	Afghanistan	6	South Asia	Kandahar	Kandahar	31.617667	65.675942	1	0		02/04/2007: A suicide car bomber attacked a NATO car. There were no casualties and no claim of responsibility in this incident.	1	1	1	1	1	Insurgency/Guerilla Action	0	1	1	3	Bombing/Explosion	4	Military	37	NATO	North Atlantic Treaty Organization (NATO): International Security Assistance Force (ISAF)	Troops	422	International	Unknown	Unknown	0	0	1	0	0		6	Explosives/Bombs/Dynamite	15	Vehicle	1	1	0	0	1	3	Minor (likely < $1 million)	0		CETIS	AFG	29121286
2.01E+11	2013	10	27	0	95	Iraq	10	Middle East & North Africa	Nineveh	Mosul	36.409928	43.089958	1	0	The incident occurred in Rashidiyah neighborhood.	"10/27/2013: A roadside bomb detonated near an army patrol in Rashidiyah neighborhood, Mosul city, Nineveh governorate, Iraq. At least three soldiers were killed and one was wounded in the blast. No group claimed responsibility for the incident."	1	1	0	1	1	Insurgency/Guerilla Action	0	1	0	3	Bombing/Explosion	4	Military	29	Military Unit/Patrol/Convoy	Iraqi Army	Patrol	95	Iraq	Unknown		0	0	-99	0	0		6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	3	0	1	0	0			0		START Primary Collection	IRQ	29671605
2.02E+11	2015	3	1	0	19	Bangladesh	6	South Asia	Dhaka	Dhaka	23.79693	90.384032	1	0	The incident occurred in the Mirpur 11 neighborhood of the city	"03/01/2015: An explosive device detonated near Monipur High School and College in Mirpur 11 neighborhood, Dhaka city, Dhaka division, Bangladesh. There were no reported casualties in the blast. Seven additional devices were discovered and safely defused following the blast. No group claimed responsibility for the incident."	1	1	1	0			0	1	0	3	Bombing/Explosion	8	Educational Institution	49	School/University/Educational Building	Monipur High School and College	School	19	Bangladesh	Unknown	"The specific motive is unknown; however, sources noted that the attack may have been part of a larger trend of violence related to Bangladesh's nationwide hartal, which began on January 6, 2015."	0	0	-99	0	0		6	Explosives/Bombs/Dynamite	17	Other Explosive Type	0	0	0	0	-9			0		START Primary Collection	BGD	158065841
1.99E+11	1990	3	27	0	78	Greece	8	Western Europe	Attica	Athens	37.97918	23.716647	1	0			1	1	1	0			0	1	0	3	Bombing/Explosion	7	Government (Diplomatic)	45	"Diplomatic Personnel (outside of embassy, consulate)"	Czechoslovakia State Dept.	diplomatic vehicle	236	Czechoslovakia	Social Resistance		0	0					6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	0		0		1	3	Minor (likely < $1 million)	0		PGIS	GRC	10749943
