source,target,value
BEL,MEX,1
USA,PHL,1
USA,ITA,1
USA,ETH,1
GBR,GTM,1
USA,PHL,1
USA,PHL,1
PRI,USA,1
ISR,DEU,1
AUT,DEU,1
USA,PHL,1
ETH,ITA,1
USA,GTM,1
JPN,BRA,1
USA,PHL,1
USA,DOM,1
PRY,ARG,1
RUS,ARG,1
USA,LBN,1
DEU,GTM,1
USA,ETH,1
USA,PHL,1
PRI,USA,1
USA,BRA,1
USA,JOR,1
PRI,USA,1
CHN,USA,1
ISR,TUR,1
ISR,PRY,1
USA,DEU,1
USA,DEU,1
USA,URY,1
149,USA,1
USA,PHL,1
USA,JOR,1
USA,JOR,1
DEU,BRA,1
CHE,URY,1
RUS,USA,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
ARG,USA,1
HTI,USA,1
URY,USA,1
DOM,USA,1
ZAF,USA,1
PRT,USA,1
HTI,USA,1
DEU,BOL,1
USA,BRA,1
BRA,URY,1
USA,URY,1
BRA,USA,1
RUS,BEL,1
IRL,GBR,1
USA,URY,1
ZWE,USA,1
BEL,MEX,1
PRT,USA,1
PRT,USA,1
USA,TUR,1
USA,JOR,1
USA,GRC,1
IRL,GBR,1
USA,DEU,1
USA,NLD,1
USA,DEU,1
USA,ARG,1
USA,JOR,1
USA,URY,1
EGY,GBR,1
USA,URY,1
USA,URY,1
JPN,USA,1
CIV,USA,1
IRL,GBR,1
USA,TUR,1
USA,TUR,1
GBR,CAN,1
USA,TUR,1
149,USA,1
USA,DEU,1
USA,URY,1
USA,URY,1
USA,URY,1
USA,URY,1
USA,ARG,1
RUS,AUS,1
USA,ITA,1
USA,TUR,1
USA,IRN,1
POL,PAK,1
USA,DEU,1
USA,TUR,1
IRL,GBR,1
USA,ARG,1
USA,ARG,1
USA,ARG,1
USA,TUR,1
USA,PHL,1
DOM,USA,1
RUS,USA,1
RUS,USA,1
USA,URY,1
USA,DEU,1
DEU,ESP,1
USA,URY,1
USA,URY,1
SWE,BRA,1
IRL,GBR,1
USA,TUR,1
USA,TUR,1
GBR,URY,1
RUS,USA,1
PRT,ZMB,1
EGY,USA,1
USA,TUR,1
USA,TUR,1
USA,TUR,1
IRL,GBR,1
USA,TUR,1
IRL,GBR,1
USA,TUR,1
USA,TUR,1
RUS,SWE,1
USA,TUR,1
USA,TUR,1
USA,TUR,1
USA,TUR,1
USA,TUR,1
RUS,TUR,1
IRL,GBR,1
USA,PHL,1
IRQ,USA,1
USA,TUR,1
IRL,GBR,1
USA,NLD,1
RUS,ITA,1
USA,TUR,1
CUB,USA,1
USA,JOR,1
PRI,USA,1
PRI,USA,1
USA,TUR,1
USA,TUR,1
RUS,SWE,1
ZAF,USA,1
ZAF,USA,1
RUS,USA,1
USA,TUR,1
IRL,GBR,1
USA,TUR,1
USA,GRC,1
ISR,TUR,1
GBR,ARG,1
FRA,ESP,1
ISR,YEM,1
RUS,USA,1
USA,ESP,1
RUS,USA,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
JOR,ESP,1
JOR,ESP,1
IRL,GBR,1
ISR,ITA,1
USA,KHM,1
USA,KHM,1
IRL,GBR,1
USA,JOR,1
IRL,GBR,1
IRL,GBR,1
USA,JOR,1
USA,ISR,1
IRL,GBR,1
IRL,GBR,1
MWI,USA,1
COD,USA,1
IRL,GBR,1
ESP,GBR,1
IRL,GBR,1
IRL,GBR,1
USA,TUR,1
IRN,USA,1
IRL,GBR,1
RUS,USA,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
USA,BRA,1
USA,BRA,1
USA,BRA,1
IRL,GBR,1
NLD,GBR,1
CHN,TWN,1
RUS,AUS,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
RUS,USA,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
JOR,GBR,1
JOR,CHE,1
IRL,GBR,1
IRL,GBR,1
CHL,PAN,1
USA,KWT,1
IRL,GBR,1
IRL,GBR,1
USA,149,1
USA,TUR,1
IRL,GBR,1
PRT,USA,1
RUS,CZE,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
GBR,DEU,1
GBR,IRL,1
IRL,GBR,1
GBR,BRA,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
JOR,EGY,1
IRL,GBR,1
DEU,IND,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
ITA,ARG,1
IRL,GBR,1
IRL,GBR,1
USA,PHL,1
USA,PHL,1
IRL,GBR,1
RUS,SWE,1
RUS,USA,1
CUB,CAN,1
CUB,CAN,1
RUS,USA,1
USA,DEU,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
USA,DEU,1
IRL,GBR,1
TUR,DEU,1
IRL,GBR,1
USA,DEU,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
USA,DEU,1
USA,FRA,1
USA,FRA,1
USA,FRA,1
USA,FRA,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
USA,IRN,1
USA,IRN,1
USA,IRN,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
USA,ARG,1
IRL,GBR,1
DEU,IRL,1
IRL,GBR,1
IRL,GBR,1
RUS,DEU,1
HKG,VNM,1
IRL,GBR,1
IRL,GBR,1
USA,PHL,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
IRL,GBR,1
