source,target,nkill
DOM,DOM,1
BEL,MEX,0
USA,PHL,1
USA,GRC,NA
USA,JPN,NA
USA,USA,0
URY,URY,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,ITA,0
USA,USA,0
USA,USA,0
DEU,DEU,NA
USA,ETH,1
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
URY,URY,0
USA,USA,0
USA,USA,0
USA,USA,0
GBR,GTM,1
USA,PHL,0
VEN,VEN,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
DEU,DEU,NA
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,PHL,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
PRI,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
ISR,DEU,1
USA,USA,0
USA,USA,0
DEU,DEU,7
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,1
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
AUT,DEU,0
CHE,CHE,47
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
JOR,JOR,NA
USA,PHL,0
ETH,ITA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
ESP,ESP,0
NA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
NA,USA,0
USA,USA,0
NA,USA,0
USA,USA,2
USA,GTM,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,2
DEU,DEU,0
USA,USA,0
USA,USA,0
JPN,BRA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
NA,ETH,0
EGY,EGY,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,1
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,PHL,1
USA,DOM,0
PRY,ARG,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
RUS,ARG,0
USA,LBN,0
USA,USA,0
USA,USA,0
DEU,GTM,1
JPN,JPN,0
USA,USA,0
USA,USA,0
USA,ETH,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,PHL,2
USA,USA,0
IRL,IRL,1
PRI,USA,0
USA,USA,0
USA,USA,0
USA,BRA,0
ARG,ARG,NA
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,JOR,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
PHL,PHL,36
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
PRI,USA,0
USA,USA,0
USA,USA,1
USA,USA,0
CHN,USA,0
ISR,TUR,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
DEU,DEU,0
DEU,DEU,NA
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
USA,USA,0
ISR,PRY,1
USA,USA,0
USA,USA,0
USA,USA,0
